"id","kode","nama_pendek","nama","kategory","sektor","bidang_usaha","hasil_usaha","alamat","hotline","telp","fax","email","website","visi","misi","tujuan","logo","created_at","updated_at"
11,MRTJ,MRTJ,PT MASS RAPID TRANSIT (MRT) JAKARTA (PERSERODA),PT,Transportasi,Pengadaan dan Pengelolaan Transportasi Bawah Tanah ,Jasa Transportasi,Wisma Nusantara Lt 21 Jl. MH Thamrin No 59 Jakarta Pusat ,,"(021) 3103629, (021) 390 6454",(021) 3155846,Info@jakartamrt.com,www.jakartamrt.cOM,"[""Menjadi penyedia jasa transportasi publik terdepan yang berkomitmen untuk mendorong pertumbuhan ekonomi melalui peningkatan mobilitas, pengurangan kemacetan, dan pengembangan sistem transit perkotaan.""]","[""1) Pengembangan dan pengoperasian jaringan transportasi publik yang aman, terpercaya dan nyaman"","" 2) Menghidupkan kembali lingkungan perkotaan melalui pengembangan transit perkotaan ternama"","" 3) Membangun reputasi sebagai perusahaan pilihan dengan melibatkan, menginspirasi, dan memotivasi tenaga kerja kami.""]","[""Membangun dan mengoperasikan Proyek MRT Jakarta yang didanai oleh pinjaman antara Pemerintah RI dengan Pemerintah Jepang melalui Japan International Cooperation Agency (JICA)""]",/images/bumd/mrtj.png,"2016-09-20 13:04:54","2022-06-14 01:11:16"
12,TRNSJK,TRANSJAK,PT TRANSPORTASI JAKARTA,PT,Transportasi,Jasa Transportasi,Layanan Masyarakat,"Jl. Mayjend Soetoyo No. 1  Cawang, Jakarta Timur 13650","1500102",(021)-80879449,(021)-80879453,info@transjakarta.co.id,www.transjakarta.co.id,"[""Menjadi perusahaan transportasi berkelas dunia yang menjadi pilihan utama bagi mobilitas masyarakat di DKI Jakarta.""]","[""Memberikan solusi untuk mengatasi masalah kemacetan dan mobilitas masyarakat di DKI Jakarta.                                          Menjadi perusahaan transportasi publik berkelas dunia yang sehat dan berkontribusi positif bagi pemegang saham dan pemangku kepentingan.Membangun insan yang profesional peduli dan penuh integritas dengan semangat pelayanan dan gotong royong (teamwork) yang kuat.Menerapkan budaya kerja yang mengutamakan keandalan pelayanan (service excellence) dan kepuasan pelanggan (customer satisfaction).""]","[""Menyediakan dan meningkatkan pelayanan kepada masyarakat pengguna angkutan umum massal sebagai penyelenggara Bus Rapid Transit""]",/images/bumd/trnsjk.png,"2016-09-20 13:04:54","2022-06-14 01:11:37"
13,JMKRD,JAMKRIDA,PT JAMKRIDA JAKARTA,PT,Keuangan,Penjaminan Kredit,Jaminan Kredit Daerah,"Gedung Dinas Teknis Abdul Muis Lt. 14, Jl. Abdul Muis No. 66 Jakarta Pusat 10160",,(021)21203204; (021)21203206,(021)22346335,mail@jamkrida-jakarta.co.id,www.jamkrida-jakarta.co.id,"[""Menjadikan Perusahaan sebagai salah satu mitra kerja utama bagi usaha mikro, kecil, menengah dan koperasi dalam rangka mengembangkan usahanya.""]","[""1) Menjalankan kegiatan usaha penjaminan untuk kemajuan usaha mikro, kecil, menengah, dan koperasi serta untuk meningkatkan kesejahteraan masyarakat"","" 2) Menjalankan kegiatan usaha perusahaan dengan kerja yang cerdas untuk meningkatkan kemajuan usaha mikro, kecil, menengah dan koperasi, serta meberikan manfaat yang optimal bagi masyarakat dan pemilik perusahaan.""]","[""Melakukan usaha di bidang jasa penjaminan dalam bentuk penjaminan kredit""]",/images/bumd/jmkrd.png,"2016-09-20 13:04:54","2022-06-14 01:11:59"
14,PTJIEP,JIEP,PT JAKARTA INDUSTRIAL ESTATE PULOGADUNG,PT,Properti,Pengelola Kawasan Industri,"Menyediakan tanah kavling industri dan semua fasilitas industri yang tertata baik, sewa bangunan, pergudangan, transit warehouse, sarana usaha industri kecil, serta bangunan pendukung lainnya.","Jl. Pulo Kambing No. 01, KIP Jakarta Timur.",,(021) 4600305,(021) 4600730,jiep@jiep.co.id,www.jiep.co.id,"[""Menjadi pengembang dan pengelola yang berstandar internasional di bidang kawasan terpadu untuk industri, bisnis, properti, logistik, yang mandiri dan bernilai tambah tinggi serta berwawasan lingkungan.""]","[""1) Menyediakan prasarana dan sarana usaha yang bermutu tinggi dan berdaya saing internasional bagi komunitas industri dan komunitas bisnis di dalam kawasan yang dikelola oleh PT JIEP"","" 2) Meningkatkan nilai perseroan secara berkelanjutan"","" 3) Melakukan perbaikan yang berkelanjutan atas proses dan prosedur kerja serta membangun keahlian yang mendukung pengembangan"","" 4) Melakukan sinergi dengan BUMN dan\/atau BUMD, baik dalam pengembangan bisnis kawasan industri, maupun dalam mendukung penguatan Sistem Logistik Nasional"","" 5) Merintis dan mengembangkan Kawasan Industri Pulogadung untuk bertransformasi sebagai pusat lokasi pengembangan industri kreatif dan bernilai tambah tinggi, serta pusat lokasi penelitian dan pengembangan bagi perusahaan-perusahaan berkelas dunia"","" 6) Membangun, meningkatkan kualitas, dan mengintegrasikan infrastruktur yang spesifik untuk mendukung posisi KIP sebagai crossing point guna menjadi titik distribusi utama untuk logistik dan distribusi"","" 7) Memberikan kontribusi yang optimal dalam perekonomian daerah dan nasional.""]","[""Untuk melakukan usaha di bidang properti industrial estate, dan kawasan bisnis, serta usaha-usaha penunjang lain yang menghasilkan barang dan\/atau jasa yang bermutu tinggi dan berdaya saing  kuat untuk mendapatkan keuntungan guna meningkatkan nilai perseroan dengan menerapkan prinsip-prinsip Perseroan Terbatas""]",/images/bumd/ptjiep.png,"2016-09-20 13:04:54","2022-03-28 19:53:49"
15,PMBJY,PEMB.JAYA,PT PEMBANGUNAN JAYA,PT,Properti,"Induk (holding company) dari perusahaan-perusahaan di bidang properti, konsultasi dan konstruksi, perdagangan, industri bahan bangunan, rekreasi dan pariwisata, serta keuangan",,"Gedung Jaya, Jl. MH. Thamrin No. 12 Jakarta 10340",,"(021) 3153920, (021) 3153422","(021) 324017, 3157610",corsec@pembangunanjaya.com,www.pembangunanjaya.id,"[""Menciptakan dan mengembangkan sarana dan prasarana pengembangan kota yang berkesinambungan sesuai dengan kemampuan, reputasi dan integrasi grup usaha Pembangunan Jaya.""]","[""Perusahaan Unggul dibidang pengembangan perkotaan dan menjadi sebagai salah satu aset nasional yang dapat dibanggakan dalam meningkatkan kualitas hidup masyarakat kota.""]","[""[\""\""""]""""]""",/images/bumd/pmbjy.jpg,"2016-09-20 13:04:54","2019-11-18 01:42:33"
16,DLTJKT,DELTA,"PT DELTA DJAKARTA, Tbk",PT,Utilitas & Lainya,Pabrikasi Minuman Air,Pabrikasi Minuman Air,"Jl. Inspeksi Tarum Barat, Desa Setia Darma Bekasi Timur 17510",,"(021) 8822520, 8819423, 8800513","fax : (021) 8800513, 8819423",deltadjakarta@deltajkt.co.id,www.deltajkt.co.id,"[""Menjadi nomor satu di pasar minuman berbasis malt di Indonesia""]","[""Memproduksi minuman berkualitas dan aman dengan biaya optimal, yang akan memberikan hasil terbaik untuk pelanggan, melalui karyawan dan mitra bisnis yang handal"",""Memberikan keuntungan yang terbaik kepada pemegang saham"",""Memberi kesemptan kepada karyawan untuk mengembangkan kemampuan diri dan profesionalisme di lingkungan kerja"",""Peduli terhadap masyarakat sekitar dan lingkungan Perseroan.""]","[""[\""\""""]""""]""",/images/bumd/logo.png,"2016-09-20 13:04:54","2016-10-12 04:39:24"
17,PTKBN,KBN,PT KAWASAN BERIKAT NUSANTARA,PT,Properti,Jasa Properti,Jasa Properti Industri & Perdagangan,"Jl. Raya Cakung Cilincing, Gedung Melati Jakarta Utara.",,(021) 44820909,"(021) 44820042, 44820223",sekper@kbn.co.id,www.kbn.co.id,"Pengelola kawasan industri multi purpose yangt terintegrasi dengan pelabuhan, berwawasan lingkungan dan bertaraf internasional.","1) Mewujudkan manajemen perusahaan berstandar internasional dengan menjunjung tinggi etika bisnis dan semangat kebersamaan, serta bertindak proaktif, efisien dan inovatif dalam setiap karya; 2) Mendorong pengembangan industri padat modal dan tepat guna; 3) Memberdayakan dan mensinergikan unit-unit usaha strategis untuk meningkatkan nilai tambah secara berkesinambungan; 4) Mendorong peningkatan ekspor; 5) Menjadikan dan mengembangkan Kawasan Dry Port; 6) Meningkatkan aplikasi teknologi industri modern; 7) Mendukung pertumbuhan ekonomi regional; 8) Melaksanakan dan meningkatkan Sistem Logistik Nasional (SISLOGNAS); 9) Mendukung Kawasan Ekonomi Khusus (KEK); 10) Mengelola dermaga multi purpose dan dermaga untuk Lokal; 11) Mempertahankan dan menunjang tersedianya sarana logistik berupa pergudangan dan penyediaan lahan; 12) Mengembangkan komitmen terhadap peningkatan kesejahteraan pemangku kepentingan (stake-holders) terutama pemegang saham, karyawan dan masyarakat sekitar.","[""[\""\""""]""""]""",/images/bumd/ptkbn.png,"2016-09-20 13:04:54","2016-10-12 04:30:45"
18,CMNTK,CEMANITOKA,PT CEMANI TOKA,PT,Utilitas & Lainya,"Pabrikasi, Produsen Tinta Cetak & Bahan Bakunya.",Produsen Tinta cetak,"Jl. Linbaw, Lir Baru, Desa Sanju, Kec. Citeureup, Kab Bogor 16810",,"(021) 8763333, 8762057, 8762060","(021) 87901821, 87901822, 8762059",mkt-1@cemani-toka.co.id,www.cemani-toka.com,"[""1)Memelihara dan meningkatkan etos kerja melalui disiplin kerja yang tinggi"","" 2)Menciptakan brand image perusahaan"","" 3)Menjadi market leader di Indonesia"","" 4)Go International""]","[""1) Pemberian reward and punishment"","" 2) Menciptakan brand image perusahaan"","" 3) Sertifikasi produk sesuai standard nasional dan internasional"","" 4) Peningkatan mutu SDM yang berkesinambungan melalui training dalam dan luar negeri, sesuai kebutuhan perusahaan""]","[""[\""\""""]""""]""",/images/bumd/cmntk.jpg,"2016-09-20 13:04:54","2022-03-28 19:54:44"
19,ASKRD,ASKRIDA,PT ASURANSI BANGUN ASKRIDA,PT,Keuangan,Asuransi,Asuransi,"Pusat Niaga Cempaka Mas Blok M1/36, Jl. Letjen. Suprapto, Cempaka Putih Jakarta Pusat",,(021)42877210; (021)42877805,(021)42877215,info@askrida.com,www.askrida.com,Menjadi 5 besar perusahaan asuransi umum nasional yang unggul dan tepercaya dengan pertumbuhan yang berkesinambungan di Indonesia.,"1) Meningkatkan literasi asuransi di Indonesia melalui sumber daya manusia perusahaan yang profesional; 2) Memberikan pelayanan prima kepada tertanggung dan mitra kerja secara efektif dan efisien melalui praktik tata kelola perusahaan yang baik; 3) Memberikan kontribusi terbaik bagi karyawan, pemegang saham dan seluruh  pemangku kepentingan.","[""Menawarkan perlindungan asuransi atas semua resiko dan kehilangan, khususnya bagi gedung-gedung pemerintahan dan juga asset-aset milik pemerintah lainnya.""]",/images/bumd/askrd.jpg,"2016-09-20 13:04:54","2016-09-23 06:55:39"
20,JIEXP,JI EXPO,PT JAKARTA INTERNATIONAL EXPO,PT,Pariwisata,Jasa Pameran,"Jasa Pameran, Konvensi, dan Eshibisi","Gedung Pusat Niaga Lt. 1 Jakarta International Expo Kemayoran, Jakarta 10620",,(021) 26645131,(021) 26645000,marketing@jiexpo.co.id,www.jiexpo.com,,,,/images/bumd/jiexp.jpg,"2016-09-20 13:04:54","2017-02-16 18:24:32"
21,RTXAR,RATAX,PT RATAX ARMADA,PT,Transportasi,Jasa Transportasi Taxi,Jasa/Pelayanan Taxi,Jl. Raya Kebayoran Lama No. 12 Jakarta Selatan,,"(021) 5483955, 5306524","(021) 5483955, 5306524",ratax.armada@gmail.com,-,"[""Menjadi perusahaan transportasi (taksi) terkemuka dan dapat diandalkan.""]","1) Memberikan pelayanan yang terbaik bagi pelanggan; 2) Mempertahankan keberadaan pasar; 3) Optimalisasi profit; 4) Kesempatan berkarya yang sama bagi seluruh karyawan","[""[\""\""""]""""]""",/images/bumd/logo.png,"2016-09-20 13:04:54","2016-10-12 04:31:35"
22,PKUAN,PAKUAN,PT PAKUAN,PT,Pariwisata,Pariwisata,"Pariwisata, Golf, Cottege","Jl. Raya Sawangan Km. 34, Sawangan, Depok 16511",,(021)7401912; (021)7402194; (021)7401911,(021)7402324,info@sawangangolfresort.com,sawangangolfresort.com,Menjadikan Padang Golf terintegrasi dan salah satu yang terbaik di Indonesia,Membangun dan menyelenggarakan padang golf terintegrasi dengan fasilitas olahraga lainnya dan resort dengan menerapkan prinsip Good Corporate Governance,,/images/bumd/logo.png,"2016-09-20 13:04:54","2016-09-20 13:04:54"
23,GRHSR,GRAHASARI,PT GRAHASAHARI SURYAJAYA,PT,Pariwisata,Industri Pariwisata,Jasa Perhotelan.,"Jl. Gunung Sahari Raya No. 3, Jakarta Pusat 10720",,"(021) 6010508,","(021) 6263055, 6263024",-,-,-,,,/images/bumd/logo.png,"2016-09-20 13:04:54","2016-09-20 13:04:54"
