"id","kode","nama_pendek","nama","kategory","sektor","bidang_usaha","hasil_usaha","alamat","hotline","telp","fax","email","website","visi","misi","tujuan","logo","akta_pendirian","akta_perubahan","dasar_hukum","nilai_saham","created_at","updated_at","deleted_at"
11,MRTJ,MRTJ,PT MASS RAPID TRANSIT (MRT) JAKARTA (PERSERODA),PT,Transportasi,Pengadaan dan Pengelolaan Transportasi Bawah Tanah,Jasa Transportasi,Wisma Nusantara Lt 21 Jl. MH Thamrin No 59 Jakarta Pusat,,"(021) 3103629, (021) 390 6454",(021) 3155846,Info@jakartamrt.com,www.jakartamrt.co.id,"Menjadi penyedia jasa transportasi publik terdepan yang berkomitmen untuk mendorong pertumbuhan ekonomi melalui peningkatan mobilitas, pengurangan kemacetan, dan pengembangan sistem transit perkotaan.","(1) Pengembangan dan pengoperasian jaringan transportasi publik yang aman, terpercaya dan nyaman
(2) Menghidupkan kembali lingkungan perkotaan melalui pengembangan transit perkotaan ternama
(3) Membangun reputasi sebagai perusahaan pilihan dengan melibatkan, menginspirasi, dan memotivasi tenaga kerja kami.",Membangun dan mengoperasikan Proyek MRT Jakarta yang didanai oleh pinjaman antara Pemerintah RI dengan Pemerintah Jepang melalui Japan International Cooperation Agency (JICA),/pics/user/2016/11/01/18/26/LnUgaBv0Z6jLQ7kt.jpg,"[""Akta Nomor 140 tanggal 17 Juni 2008 oleh Sutjipto SH M.Kn.""]","[""Akta Nomor 41 tanggal 22 Desember 2021 oleh Notaris Miryani Usman, SH""]","[""Peraturan Daerah Nomor 9 Tahun 2018 tentang Perseroan Terbatas MRT Jakarta (Perseroan Daerah)""]","Pemprov DKI Jakarta (99,9977%); Perumda Pasar Jaya (0,0023%)","2016-09-20 20:04:54","2025-11-14 01:33:08",
12,TRNSJK,TRANSJAK,PT TRANSPORTASI JAKARTA,PT,Transportasi,Jasa Transportasi,Layanan Masyarakat,"Jl. Mayjen Sutoyo No. 1  Cawang, Jakarta Timur 13650","1500102",(021)-80879449,(021)-80879453,info@transjakarta.co.id,www.transjakarta.co.id,Menghubungkan kehidupan Jakarta.,Bersama-sama menyediakan layanan transportasi terintegrasi yang memudahkan dan membahagiakan kehidupan Jakarta.,Menyediakan dan meningkatkan pelayanan kepada masyarakat pengguna angkutan umum massal sebagai penyelenggara Bus Rapid Transit,/pics/user/2025/05/08/01/33/y9XxvzNjwui4UopS.png,"[""Akta Nomor 80 tanggal 27 Maret 2014 dari Yualita Widyadhari S.H., MKn, notaris di Jakarta""]","[""Akta Nomor 15 tanggal 29 Juli 2021 yang dibuat dihadapan Irma Devita Purnamasari, S.H., M.Kn,""]","[""Peraturan Daerah Nomor 4 Tahun 2014 tentang Pembentukan Badan Usaha Milik Daerah Perseroan Terbatas Transjakarta""]","Pemprov DKI Jakarta (99,70%); PT Jakarta Propertindo (0,30%).","2016-09-20 20:04:54","2025-05-08 10:01:44",
13,JMKRD,JMKRD,PT JAMKRIDA JAKARTA (PERSERODA),PT,Keuangan,Penjaminan Kredit,Jaminan Kredit Daerah,"Gedung Jaya, Jl. M.H. Thamrin No.12 Lantai 3, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,(021)21203204; (021)21203206,(021)22346335,mail@jamkrida-jakarta.co.id,www.jamkrida-jakarta.co.id,"Menjadi mitra kerja utama bagi usaha Mikro, Kecil, Menengah, dan Koperasi (UMKMK) dalam mengembangkan usahanya.","(1) Menjalankan kegiatan usaha penjaminan untuk kemajuan UMKMK serta meningkatkan kesejahteraan masyarakat
(2) Memberikan manfaat berkesinambungan bagi para pemangku kepentingan: shareholder, karyawan, mitra kerja, dan masyarakat.",Melakukan usaha di bidang jasa penjaminan dalam bentuk penjaminan kredit,/pics/user/2024/06/12/10/24/es6uFAmA7iY5vecU.png,"[""Akta Nomor 9  tanggal 10 November 2014 oleh Notaris Yaulita Widyadhai SH, Mkn""]","[""Akta No. 37 tanggal 15 Maret 2024 - Ashoya Ratammengenai Pengangkatan Komisaris Perusahaan, yang merujuk pada memo sirkuler Keputusan Para Pemegang Saham No. 871 tanggal 15 Desember 2023 tentang Pemberhentian dan Pengangkatan Komisaris Perseroan, susunan Direksi dan Dewan Komisaris Perusahaan""]","[""Peraturan Daerah Nomor 13 Tahun 2013 tentang Pembentukan BUMD Perseroan Terbatas Penjaminan Kredit Daerah Jakarta""]","Pemprov DKI Jakarta (99,17%); Perumda Pasar Jaya (0,83%)","2016-09-20 20:04:54","2025-11-03 01:22:46",
14,PTJIEP,JIEP,PT JAKARTA INDUSTRIAL ESTATE PULOGADUNG (PERSERODA),PT,Properti,Pengelola Kawasan Industri,"Menyediakan tanah kavling industri dan semua fasilitas industri yang tertata baik, sewa bangunan, pergudangan, transit warehouse, sarana usaha industri kecil, serta bangunan pendukung lainnya.","Jl. Pulo Kambing No. 01, KIP Jakarta Timur.",,(021) 4600305,(021) 4600730,jiep@jiep.co.id,www.jiep.co.id,"Menjadi pengembang dan pengelola yang berstandar internasional di bidang kawasan terpadu untuk industri, bisnis, properti, logistik, yang mandiri dan bernilai tambah tinggi serta berwawasan lingkungan.","1) Menyediakan prasarana dan sarana usaha yang bermutu tinggi dan berdaya saing internasional bagi komunitas industri dan komunitas bisnis di dalam kawasan yang dikelola oleh PT JIEP
2) Meningkatkan nilai perseroan secara berkelanjutan
3) Melakukan perbaikan yang berkelanjutan atas proses dan prosedur kerja serta membangun keahlian yang mendukung pengembangan
4) Melakukan sinergi dengan BUMN dan/atau BUMD, baik dalam pengembangan bisnis kawasan industri, maupun dalam mendukung penguatan Sistem Logistik Nasional
5) Merintis dan mengembangkan Kawasan Industri Pulogadung untuk bertransformasi sebagai pusat lokasi pengembangan industri kreatif dan bernilai tambah tinggi, serta pusat lokasi penelitian dan pengembangan bagi perusahaan-perusahaan berkelas dunia
6) Membangun, meningkatkan kualitas, dan mengintegrasikan infrastruktur yang spesifik untuk mendukung posisi KIP sebagai crossing point guna menjadi titik distribusi utama untuk logistik dan distribusi
7) Memberikan kontribusi yang optimal dalam perekonomian daerah dan nasional.","Untuk melakukan usaha di bidang properti industrial estate, dan kawasan bisnis, serta usaha-usaha penunjang lain yang menghasilkan barang dan/atau jasa yang bermutu tinggi dan berdaya saing  kuat untuk mendapatkan keuntungan guna meningkatkan nilai perseroan dengan menerapkan prinsip-prinsip Perseroan Terbatas",/pics/user/2017/04/03/04/10/nweQQp6TG8G15fGe.png,"[""Akta Nomor 127 tanggal 26 Juni 1973 oleh Notaris Abdul Latief""]","[""Akta Nomor 77 tanggal 19 Februari 2009 oleh Notaris Siti Rayhana""]","[""SK. Gubernur No. Ib.3\/2\/35\/1969"","" 2)SK. Menteri Hukum dan HAM RI Nomor AHU-AH.01.10-21151 tanggal 24 November 2009""]","Pemprov DKI Jakarta (53,06%); PT Danareksa (Persero) (46,94%)","2016-09-20 20:04:54","2025-11-14 01:19:05",
15,PMBJY,PEMB.JAYA,PT PEMBANGUNAN JAYA,PT,Properti,"Induk (holding company) dari perusahaan-perusahaan di bidang properti, konsultasi dan konstruksi, perdagangan, industri bahan bangunan, rekreasi dan pariwisata, serta keuangan",,"Gedung Jaya, Jl. MH. Thamrin No. 12 Jakarta 10340",,"(021) 3153920, (021) 3153422","(021) 324017, 3157610",corsec@pembangunanjaya.com,www.pembangunanjaya.id,"Menciptakan dan mengembangkan sarana dan prasarana pengembangan kota yang berkesinambungan sesuai dengan kemampuan, reputasi dan integrasi grup usaha Pembangunan Jaya.",Perusahaan Unggul dibidang pengembangan perkotaan dan menjadi sebagai salah satu aset nasional yang dapat dibanggakan dalam meningkatkan kualitas hidup masyarakat kota.,"[""[\""\""""]""""]""",/pics/user/2019/11/18/42/33/WWfkcPaMlZjRCd5H.jpg,"[""Akta Nomor 19 tanggal 3 September 1961 dan Nomor 15 tanggal 19 April 1964 oleh Notaris Liem Toeng Kie, S.H.,""]","[""Akta Nomor 3 tanggal 3 Mei 1999 oleh Notaris Sutjipto, S.H.,""]",,"Pemprov DKI Jakarta (38,80%)","2016-09-20 20:04:54","2023-07-25 10:09:02",
16,DLTJKT,DELTA,PT DELTA DJAKARTA Tbk,PT,Utilitas & Lainya,Pabrikasi Minuman Air,Pabrikasi Minuman Air,"Jl. Inspeksi Tarum Barat, Desa Setia Darma Bekasi Timur 17510",,"(021) 8822520, 8819423, 8800513","fax : (021) 8800513, 8819423",deltadjakarta@deltajkt.co.id,www.deltajkt.co.id,Menjadi nomor satu di pasar minuman berbasis malt di Indonesia,"Memproduksi minuman berkualitas dan aman dengan biaya optimal, yang akan memberikan hasil terbaik untuk pelanggan, melalui karyawan dan mitra bisnis yang handal
Memberikan keuntungan yang terbaik kepada pemegang saham
Memberi kesemptan kepada karyawan untuk mengembangkan kemampuan diri dan profesionalisme di lingkungan kerja
Peduli terhadap masyarakat sekitar dan lingkungan Perseroan.","[""[\""\""""]""""]""",/pics/user/2023/01/26/23/18/tKwZrOoF8zZLoTgw.jpeg,"[""Akta Nomor 35 tanggal 15 Juni 1970 oleh Notaris Abdul Latief, SH""]","[""Akta Nomor 169 tanggal 26 Agustus 2020 dari oleh Notaris Christina Dwi Utami, S.H., M.HUM., M.Kn.""]","[""Tambahan Berita Negara RI tanggal 21 Mei 1971 Nomor 41""]","Pemprov DKI Jakarta (26,25%); San Miguel Malaysia (58,33%) dan Masyarakat (15,42%).","2016-09-20 20:04:54","2025-11-14 01:12:45",
17,PTKBN,KBN,PT KAWASAN BERIKAT NUSANTARA,PT,Properti,Jasa Properti,Jasa Properti Industri & Perdagangan,"Jl. Raya Cakung Cilincing, Gedung Melati Jakarta Utara.",,(021) 44820909,"(021) 44820042, 44820223",sekper@kbn.co.id,www.kbn.co.id,"Pengelola kawasan industri multi purpose yangt terintegrasi dengan pelabuhan, berwawasan lingkungan dan bertaraf internasional.","1) Mewujudkan manajemen perusahaan berstandar internasional dengan menjunjung tinggi etika bisnis dan semangat kebersamaan, serta bertindak proaktif, efisien dan inovatif dalam setiap karya
2) Mendorong pengembangan industri padat modal dan tepat guna
3) Memberdayakan dan mensinergikan unit-unit usaha strategis untuk meningkatkan nilai tambah secara berkesinambungan
4) Mendorong peningkatan ekspor
5) Menjadikan dan mengembangkan Kawasan Dry Port
6) Meningkatkan aplikasi teknologi industri modern
7) Mendukung pertumbuhan ekonomi regional
8) Melaksanakan dan meningkatkan Sistem Logistik Nasional (SISLOGNAS)
9) Mendukung Kawasan Ekonomi Khusus (KEK)
10) Mengelola dermaga multi purpose dan dermaga untuk Lokal
11) Mempertahankan dan menunjang tersedianya sarana logistik berupa pergudangan dan penyediaan lahan
12) Mengembangkan komitmen terhadap peningkatan kesejahteraan pemangku kepentingan (stake-holders) terutama pemegang saham, karyawan dan masyarakat sekitar.","[""[\""\""""]""""]""",/pics/user/2023/01/26/00/28/T7dLA7ixfO91qLDY.jpg,"[""Akta Nomor 28 tanggal 28 Juni 1986 oleh Notaris Lies Rahalus Rusadi S.H.""]","[""Akta Nomor 9 tanggal 17 September 2019 oleh Notaris Akfi Irpansyah, S.H, M.Kn""]","[""SK. Gubernur Nomor 800 Tahun 2002""]","Pemprov DKI Jakarta (26,8516%); PT Danareksa (Persero) (73,1481%); Pemerintah Republik Indonesia (0,0003%).","2016-09-20 20:04:54","2025-11-14 01:25:50",
18,CMNTK,CEMANITOKA,PT CEMANI TOKA,PT,Utilitas & Lainya,"Pabrikasi, Produsen Tinta Cetak & Bahan Bakunya.",Tinta Cetak,"Jl. Landbaw, Lio Baru, Desa Sanja, Kec. Citeureup, Kab. Bogor 16810",,"(021) 8763333, 8762057",(021) 8762060,mkt-1.id@toka-global.com,www.cemani-toka.co.id,"1) Menjadi perusahaan tinta cetak yang bertaraf internasional.2) Memberikan kepuasan pelayanan kepada pelanggan dengan produk tinta yang bermutu tinggi.3) Ikut ambil bagian dalam pasar global.4) Menjadi perusahaan tinta cetak yang peduli akan kelestarian lingkungan hidup.5) Selalu ikut serta dan mengikuti perkembangan tekhnik dunia kegrafikaan.","1) Penggunaan ilmu pengetahuan dan informasi untuk pengembangan tekhnologi yang lebih baik dalam melakukan pekerjaan.2) Selalu mengembangkan dan memperbaiki mutu proses produksi dan mutu produksi.3) Selalu memberikan pelayanan yang baik kepada pelanggan.4) Melakukan semua kegiatan yang bertujuan untuk memenangkan kompetensi dalam dunia tinta cetak.","[""[\""\""""]""""]""",/pics/user/2023/06/16/04/36/VKlJgeeFmSFKu0Np.png,"[""Akta Nomor 43 tanggal 11 Maret 1971 oleh Notaris Abdul Latief""]","[""Akta Nomor 14 tanggal 10 Juni 2022 oleh Notaris Andalia Farida, S.H., M.H.""]","[""Berita Negara Nomor 145 tahun 1972,TBN RI Nomor 32 tanggal 21 April 1972.""]","Pemprov DKI Jakarta (27,42%); T&K Toka Co. Ltd. (72,58%)","2016-09-20 20:04:54","2023-07-25 10:15:23",
19,ASKRD,ASKRIDA,PT ASURANSI BANGUN ASKRIDA,PT,Keuangan,Asuransi,Asuransi,"Askrida Tower, PT asuransi bangun askrida jl Pramuka no 151 RT 9/RW 5, Utan Kayu, Matraman, Jakarta timur",,(021)42877210; (021)42877805,(021)42877215,info@askrida.com,www.askrida.com,Menjadi 5 besar perusahaan asuransi umum nasional yang unggul dan tepercaya dengan pertumbuhan yang berkesinambungan di Indonesia.,"1) Meningkatkan literasi asuransi di Indonesia melalui sumber daya manusia perusahaan yang profesional
2) Memberikan pelayanan prima kepada tertanggung dan mitra kerja secara efektif dan efisien melalui praktik tata kelola perusahaan yang baik
3) Memberikan kontribusi terbaik bagi karyawan, pemegang saham dan seluruh  pemangku kepentingan.","Menawarkan perlindungan asuransi atas semua resiko dan kehilangan, khususnya bagi gedung-gedung pemerintahan dan juga asset-aset milik pemerintah lainnya.",/pics/user/2016/09/23/52/09/TSYupVNO0FkX9bcv.png,"[""Akta Nomor 9 Tahun 1989 oleh Notaris Raharti Sudjarjdati, SH""]","[""Akta Nomor 135 tanggal 27 Mei 2019 oleh Notaris Ashoya Ratam, SH, MKn""]","[""SK Menkeh RI Nomor C2-11682 TH.01.01 th 1989 tanggal 30 Desember 1989.""]","Pemprov DKI Jakarta (4,10%)","2016-09-20 20:04:54","2025-11-14 02:24:05",
20,JIEXP,JI EXPO,PT JAKARTA INTERNATIONAL EXPO,PT,Pariwisata,Jasa Pameran,"Jasa Pameran, Konvensi, dan Eshibisi","Gedung Pusat Niaga Lt. 1 Jakarta International Expo Kemayoran, Jakarta 10620",,(021) 26645131,(021) 26645000,marketing@jiexpo.co.id,www.jiexpo.com,,,,/pics/user/2023/01/26/26/07/MgHiXqZOTDhTXI0G.jpg,"[""Akta Nomor 138 tanggal 24 Oktober 2003 oleh Notaris Sutjipto, SH""]","[""Akta Nomor 32 tanggal 20 Mei 2009 oleh Notaris James Herman Rahardjo, SH""]","[""1) SK. Menteri Kehakiman dan Hak Azazi Manusia Nomor C-27445 HT.01.01. TH. 2003 tgl. 17 November 2003"","" 2) SK. Menteri Kehakiman dan Hak Azazi Manusia Nomor C-30177 HT.01.04. TH. 2003 tgl. 29 Desember 2004""]",NULL,"2016-09-20 20:04:54","2023-01-26 14:26:07",
21,RTXAR,RATAX,PT RATAX ARMADA,PT,Transportasi,Jasa Transportasi Taxi,Jasa/Pelayanan Taxi,Jl. Raya Kebayoran Lama No. 12 Jakarta Selatan,,"(021) 5483955, 5306524","(021) 5483955, 5306524",ratax.armada@gmail.com,-,Menjadi perusahaan transportasi (taksi) terkemuka dan dapat diandalkan.,"1) Memberikan pelayanan yang terbaik bagi pelanggan; 2) Mempertahankan keberadaan pasar; 3) Optimalisasi profit; 4) Kesempatan berkarya yang sama bagi seluruh karyawan","[""[\""\""""]""""]""",,"Akta Nomor 144 tanggal 31 Desember 1971 oleh Notaris Ridwan Suselo, SH.","Diubah terakhir Akta Nomor 23 tanggal 11 Mei 1999 oleh Notaris Teddy Anwar, SH.",NULL,NULL,"2016-09-20 20:04:54","2016-10-12 11:31:35",
22,PKUAN,PAKUAN,PT PAKUAN Tbk,PT,Pariwisata,Pariwisata,"Pariwisata, Golf, Cottege","Jl. Raya Sawangan Km. 34, Sawangan, Depok 16511",,(021)7401912; (021)7402194; (021)7401911,(021)7402324,info@sawangangolfresort.com,www.ptpakuan.com,Menjadikan Padang Golf terintegrasi dan salah satu yang terbaik di Indonesia,Membangun dan menyelenggarakan padang golf terintegrasi dengan fasilitas olahraga lainnya dan resort dengan menerapkan prinsip Good Corporate Governance,,/pics/user/2023/07/06/21/45/Ye6vYDxEM197WbqP.png,"[""Akta Nomor 21 tanggal 8 Maret 1971, notaris di Jakarta oleh Notaris Ridwan Suselo, S.H.,""]","[""Akta Nomor 103 tanggal 18 Agustus 2020 oleh Notaris Christina Dwi Utami, S.H., M.H., M.Kn.,""]",,"Pemprov DKI Jakarta (1,11%); PT Sawangan Investasi Indonesia (73,92%); Yayasan Kesejahteraan Bhakti Tugas (0,96%); Masyarakat (2","2016-09-20 20:04:54","2025-02-18 13:10:12",
23,GRHSR,GRAHASARI,PT GRAHASAHARI SURYAJAYA,PT,Pariwisata,Industri Pariwisata,Jasa Perhotelan.,"Jl. Gunung Sahari Raya No. 3, Jakarta Pusat 10720",,"(021) 6010508,","(021) 6263055, 6263024",-,-,-,,,,"[""Akta Notaris Yudo Paripurno, S.H., No. 172 tanggal 20 Juni 1992 yang telah diubah dengan Akta No. 22 Notaris Ny. Lely Roostiati Yudo Paripurno S.H. tanggal 7 Januari 1993""]","[""Akta Nomor 23 tanggal 27 November 2013 dari Notaris Pahala Sutrisno Amijoyo Tampubulon, S.H., di Jakarta""]","[""Surat Keputusan Menteri Kehakiman RI Nomor C2-1202.HT.01.01. TH'93 tanggal 27 Februari 1993""]",,"2016-09-20 20:04:54","2022-08-29 17:38:07",
